antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent_len,consequent_len,antecedents_str,consequents_str
"frozenset({'STRAWBERRY CHARLOTTE BAG', 'RED RETROSPOT PEG BAG', 'CHARLOTTE BAG PINK POLKADOT'})",frozenset({'RED RETROSPOT CHARLOTTE BAG'}),0.0051083508092703124,0.05517018874011938,0.005000806581706727,0.9789473684210527,17.744136657433057,1.0,0.0047189779034085425,44.879416034844425,0.9484885679316273,0.09046692607003891,0.977718070145485,0.5347953216374269,3,1,"STRAWBERRY CHARLOTTE BAG, RED RETROSPOT PEG BAG, CHARLOTTE BAG PINK POLKADOT",RED RETROSPOT CHARLOTTE BAG
"frozenset({'FLORAL FOLK STATIONERY SET', 'CARD SUKI BIRTHDAY', 'SKULL SHOULDER BAG'})",frozenset({'SUKI  SHOULDER BAG'}),0.0051083508092703124,0.028337903963004785,0.005000806581706727,0.9789473684210527,34.54551083591331,1.0,0.004856046627064287,46.15394956175737,0.9760386264547976,0.17580340264650285,0.9783333818774939,0.5777089783281734,3,1,"FLORAL FOLK STATIONERY SET, CARD SUKI BIRTHDAY, SKULL SHOULDER BAG",SUKI  SHOULDER BAG
"frozenset({'HERB MARKER PARSLEY', 'HERB MARKER CHIVES', 'HERB MARKER ROSEMARY'})",frozenset({'HERB MARKER THYME'}),0.009678980480722698,0.012528902511157713,0.009463892025595525,0.9777777777777776,78.041773962804,1.0,0.009342625022745153,44.43619938699762,0.9968346932429031,0.7426160337552743,0.9774958251651781,0.8665712923223652,3,1,"HERB MARKER PARSLEY, HERB MARKER CHIVES, HERB MARKER ROSEMARY",HERB MARKER THYME
"frozenset({'HERB MARKER CHIVES', 'HERB MARKER THYME', 'HERB MARKER ROSEMARY'})",frozenset({'HERB MARKER PARSLEY'}),0.009678980480722698,0.012475130397375921,0.009463892025595525,0.9777777777777776,78.37816091954022,1.0,0.009343145481984854,44.4386191321178,0.9968902249403959,0.7457627118644066,0.9774970505490514,0.868199233716475,3,1,"HERB MARKER CHIVES, HERB MARKER THYME, HERB MARKER ROSEMARY",HERB MARKER PARSLEY
"frozenset({'HERB MARKER CHIVES', 'HERB MARKER PARSLEY', 'HERB MARKER ROSEMARY', 'HERB MARKER MINT'})",frozenset({'HERB MARKER THYME'}),0.009195031456686563,0.012528902511157713,0.008979943001559392,0.9766081871345029,77.94842255854228,1.0,0.008864739348851538,42.214389417648015,0.9963323109560756,0.7046413502109705,0.976311394910714,0.8466731922796978,4,1,"HERB MARKER CHIVES, HERB MARKER PARSLEY, HERB MARKER ROSEMARY, HERB MARKER MINT",HERB MARKER THYME
"frozenset({'HERB MARKER PARSLEY', 'HERB MARKER CHIVES', 'HERB MARKER THYME', 'HERB MARKER MINT'})",frozenset({'HERB MARKER ROSEMARY'}),0.009195031456686563,0.012582674624939507,0.008979943001559392,0.9766081871345029,77.61530964162543,1.0,0.008864244912573822,42.21209065978383,0.9962767399099555,0.7016806722689077,0.9763101048924658,0.8451417004048583,4,1,"HERB MARKER PARSLEY, HERB MARKER CHIVES, HERB MARKER THYME, HERB MARKER MINT",HERB MARKER ROSEMARY
"frozenset({'HERB MARKER CHIVES', 'HERB MARKER THYME', 'HERB MARKER BASIL'})",frozenset({'HERB MARKER PARSLEY'}),0.009195031456686563,0.012475130397375921,0.008979943001559392,0.9766081871345029,78.284407138536,1.0,0.008865233785129253,42.21668817551218,0.9963878820021955,0.7076271186440679,0.9763126847884754,0.8482178866706997,3,1,"HERB MARKER CHIVES, HERB MARKER THYME, HERB MARKER BASIL",HERB MARKER PARSLEY
"frozenset({'HERB MARKER CHIVES', 'HERB MARKER BASIL', 'HERB MARKER ROSEMARY'})",frozenset({'HERB MARKER PARSLEY'}),0.009087487229122978,0.012475130397375921,0.008872398773995805,0.9763313609467454,78.26221689451131,1.0,0.008759031185828008,41.72292574071066,0.9962760884293336,0.699152542372881,0.9760323615315342,0.8437691287492348,3,1,"HERB MARKER CHIVES, HERB MARKER BASIL, HERB MARKER ROSEMARY",HERB MARKER PARSLEY
"frozenset({'HERB MARKER CHIVES', 'HERB MARKER MINT', 'HERB MARKER BASIL'})",frozenset({'HERB MARKER PARSLEY'}),0.009033715115341184,0.012475130397375921,0.008818626660214013,0.9761904761904763,78.2509236453202,1.0,0.008705929886177386,41.47604452331036,0.9962201673131823,0.6949152542372883,0.9758896970168411,0.8415435139573071,3,1,"HERB MARKER CHIVES, HERB MARKER MINT, HERB MARKER BASIL",HERB MARKER PARSLEY
"frozenset({'HERB MARKER PARSLEY', 'HERB MARKER CHIVES', 'HERB MARKER THYME', 'HERB MARKER BASIL'})",frozenset({'HERB MARKER ROSEMARY'}),0.008979943001559392,0.012582674624939507,0.00876485454643222,0.9760479041916166,77.57078151389527,1.0,0.008651862845493095,41.22467333440845,0.9960530476783318,0.6848739495798317,0.9757426822551595,0.8363145503864066,4,1,"HERB MARKER PARSLEY, HERB MARKER CHIVES, HERB MARKER THYME, HERB MARKER BASIL",HERB MARKER ROSEMARY
